Timestamp	AWP (125 Hz)
223.64	-0.080000
223.648	-0.090000
223.656	-0.100000
223.664	-0.100000
223.672	-0.100000
223.68	-0.100000
223.688	-0.110000
223.696	-0.120000
223.704	-0.130000
223.712	-0.120000
223.72	-0.120000
223.728	-0.120000
223.736	-0.120000
223.744	-0.120000
223.752	-0.120000
223.76	-0.120000
223.768	-0.120000
223.776	-0.130000
223.784	-0.130000
223.792	-0.130000
223.8	-0.130000
223.808	-0.130000
223.816	-0.130000
223.824	-0.130000
223.832	-0.130000
223.84	-0.130000
223.848	-0.140000
223.856	-0.140000
223.864	-0.140000
223.872	-0.130000
223.88	-0.120000
223.888	-0.110000
223.896	-0.100000
223.904	-0.110000
223.912	-0.120000
223.92	-0.120000
223.928	-0.130000
223.936	-0.120000
223.944	-0.120000
223.952	-0.110000
223.96	-0.100000
223.968	-0.110000
223.976	-0.110000
223.984	-0.110000
223.992	-0.110000
224	-0.110000
224.008	-0.100000
224.016	-0.110000
224.024	-0.110000
224.032	-0.110000
224.04	-0.110000
224.048	-0.110000
224.056	-0.120000
224.064	-0.130000
224.072	-0.140000
224.08	-0.140000
224.088	-0.150000
224.096	-0.150000
224.104	-0.150000
224.112	-0.150000
224.12	-0.150000
224.128	-0.150000
224.136	-0.140000
224.144	-0.140000
224.152	-0.130000
224.16	-0.120000
224.168	-0.120000
224.176	-0.110000
224.184	-0.110000
224.192	-0.110000
224.2	-0.100000
224.208	-0.090000
224.216	-0.060000
224.224	-0.050000
224.232	-0.020000
224.24	-0.020000
224.248	-0.010000
224.256	-0.010000
224.264	0.000000
224.272	0.010000
224.28	0.030000
224.288	0.040000
224.296	0.040000
224.304	0.050000
224.312	0.050000
224.32	0.070000
224.328	0.090000
224.336	0.100000
224.344	0.110000
224.352	0.120000
224.36	0.120000
224.368	0.140000
224.376	0.150000
224.384	0.160000
224.392	0.170000
224.4	0.180000
224.408	0.180000
224.416	0.190000
224.424	0.210000
224.432	0.240000
224.44	0.250000
224.448	0.270000
224.456	0.260000
224.464	0.250000
224.472	0.240000
224.48	0.240000
224.488	0.260000
224.496	0.290000
224.504	0.310000
224.512	0.310000
224.52	0.310000
224.528	0.280000
224.536	0.250000
224.544	0.210000
224.552	0.150000
224.56	0.140000
224.568	0.190000
224.576	0.270000
224.584	0.330000
224.592	0.320000
224.6	0.240000
224.608	0.180000
224.616	0.160000
224.624	0.190000
224.632	0.260000
224.64	0.290000
224.648	0.270000
224.656	0.240000
224.664	0.230000
224.672	0.250000
224.68	0.280000
224.688	0.280000
224.696	0.260000
224.704	0.240000
224.712	0.250000
224.72	0.260000
224.728	0.260000
224.736	0.240000
224.744	0.230000
224.752	0.230000
224.76	0.230000
224.768	0.230000
224.776	0.230000
224.784	0.230000
224.792	0.230000
224.8	0.220000
224.808	0.210000
224.816	0.210000
224.824	0.210000
224.832	0.220000
224.84	0.220000
224.848	0.210000
224.856	0.210000
224.864	0.220000
224.872	0.230000
224.88	0.220000
224.888	0.210000
224.896	0.190000
224.904	0.190000
224.912	0.200000
224.92	0.200000
224.928	0.200000
224.936	0.180000
224.944	0.170000
224.952	0.150000
224.96	0.150000
224.968	0.150000
224.976	0.150000
224.984	0.150000
224.992	0.140000
225	0.150000
225.008	0.150000
225.016	0.160000
225.024	0.160000
225.032	0.160000
225.04	0.150000
225.048	0.140000
225.056	0.140000
225.064	0.150000
225.072	0.160000
225.08	0.160000
225.088	0.150000
225.096	0.140000
225.104	0.130000
225.112	0.120000
225.12	0.120000
225.128	0.120000
225.136	0.120000
225.144	0.110000
225.152	0.110000
225.16	0.110000
225.168	0.100000
225.176	0.100000
225.184	0.100000
225.192	0.110000
225.2	0.100000
225.208	0.100000
225.216	0.090000
225.224	0.090000
225.232	0.100000
225.24	0.100000
225.248	0.090000
225.256	0.080000
