Timestamp	Resp (62.5 Hz)
228.864	0.639588
228.88	0.638954
228.896	0.636735
228.912	0.632297
228.928	0.625323
228.944	0.613911
228.96	0.599012
228.976	0.584430
228.992	0.569848
229.008	0.553681
229.024	0.536563
229.04	0.520396
229.056	0.504863
229.072	0.489013
229.088	0.473480
229.104	0.459532
229.12	0.447169
229.136	0.435123
229.152	0.423077
229.168	0.410080
229.184	0.396132
229.2	0.382818
229.216	0.369504
229.232	0.354605
229.248	0.337804
229.264	0.319735
229.28	0.301032
229.296	0.283597
229.312	0.267430
229.328	0.251263
229.344	0.235096
229.36	0.221148
229.376	0.208785
229.392	0.196739
229.408	0.185010
229.424	0.173598
229.44	0.162186
229.456	0.150774
229.472	0.139362
229.488	0.127950
229.504	0.116855
229.52	0.106077
229.536	0.095299
229.552	0.085472
229.568	0.076913
229.584	0.070256
229.6	0.064867
229.616	0.060746
229.632	0.057893
229.648	0.056625
229.664	0.056625
229.68	0.056625
229.696	0.056625
229.712	0.057576
229.728	0.059478
229.744	0.060746
229.76	0.061697
229.776	0.061380
229.792	0.059478
229.808	0.055674
229.824	0.050602
229.84	0.046481
229.856	0.042994
229.872	0.038239
229.888	0.032216
229.904	0.025559
229.92	0.018268
229.936	0.011611
229.952	0.005271
229.968	-0.003605
229.984	-0.013749
230	-0.022625
230.016	-0.030550
230.032	-0.041328
230.048	-0.054642
230.064	-0.069541
230.08	-0.085074
230.096	-0.098388
230.112	-0.110117
230.128	-0.122163
230.144	-0.134209
230.16	-0.143402
230.176	-0.150059
230.192	-0.156082
230.208	-0.161471
230.224	-0.165275
230.24	-0.167811
230.256	-0.169396
230.272	-0.170030
230.288	-0.170347
230.304	-0.170347
230.32	-0.169713
230.336	-0.169079
230.352	-0.168445
230.368	-0.167494
230.384	-0.164324
230.4	-0.159569
230.416	-0.153546
230.432	-0.146255
230.448	-0.137696
230.464	-0.127552
230.48	-0.118042
230.496	-0.108215
230.512	-0.096803
230.528	-0.084123
230.544	-0.073028
230.56	-0.062567
230.576	-0.053057
230.592	-0.044498
230.608	-0.036256
230.624	-0.028965
230.64	-0.022942
230.656	-0.018187
230.672	-0.014066
230.688	-0.010896
230.704	-0.008360
230.72	-0.006141
230.736	-0.004239
230.752	-0.002654
230.768	-0.003288
230.784	-0.005824
230.8	-0.007726
230.816	-0.009311
230.832	-0.013115
230.848	-0.019455
230.864	-0.028014
230.88	-0.038158
230.896	-0.047985
230.912	-0.056861
230.928	-0.066371
230.944	-0.075881
230.96	-0.083489
230.976	-0.089512
230.992	-0.094267
231.008	-0.097754
231.024	-0.099656
231.04	-0.099656
231.056	-0.097120
231.072	-0.091731
231.088	-0.084440
231.104	-0.075881
231.12	-0.065420
231.136	-0.053374
231.152	-0.037207
231.168	-0.017553
231.184	0.007807
231.2	0.037288
231.216	0.066452
231.232	0.095299
